n,t,d,m,time_ms,rss_delta_kb
1024,densa,D0,a,90657.3,88320
1024,densa,D0,b,89235.1,88320
1024,densa,D0,c,89515.9,88320
1024,densa,D10,a,89712.4,88192
1024,densa,D0,a,89319.7,88192
1024,densa,D0,b,88558.2,88320
1024,densa,D0,c,90708.3,88320
1024,densa,D10,a,86729.9,88320
1024,densa,D10,b,90070.1,88192
1024,densa,D10,c,88075.8,88320
1024,diagonal,D0,a,87685.6,88320
1024,diagonal,D0,b,86217.4,88320
1024,diagonal,D0,c,87799.8,88320
1024,diagonal,D10,a,87799.6,88320
1024,diagonal,D10,b,88336.6,88192
1024,diagonal,D10,c,88080.1,88320
1024,dispersa,D0,a,89060.3,88320
1024,dispersa,D0,b,87019.9,88320
1024,dispersa,D0,c,88929.2,88320
1024,dispersa,D10,a,87645,88320
1024,dispersa,D10,b,87940.8,88192
1024,dispersa,D10,c,90190.7,88192
16,densa,D0,a,0.8086,0
16,densa,D0,b,0.8271,0
16,densa,D0,c,0.7362,0
16,densa,D10,a,0.7454,0
16,densa,D10,b,0.8194,0
16,densa,D10,c,0.8653,0
16,diagonal,D0,a,0.7349,0
16,diagonal,D0,b,0.7366,0
16,diagonal,D0,c,0.773,0
16,diagonal,D10,a,0.7236,0
16,diagonal,D10,b,0.7229,0
16,diagonal,D10,c,0.7632,0
16,dispersa,D0,a,1.0833,0
16,dispersa,D0,b,0.7403,0
16,dispersa,D0,c,0.7354,0
16,dispersa,D10,a,0.7429,0
16,dispersa,D10,b,0.7384,0
16,dispersa,D10,c,0.7385,0
256,densa,D0,a,1808.46,5632
256,densa,D0,b,1806.87,5760
256,densa,D0,c,1815.18,5760
256,densa,D10,a,1819.6,5760
256,densa,D10,b,1780.31,5760
256,densa,D10,c,1842.69,5760
256,diagonal,D0,a,1792.11,5760
256,diagonal,D0,b,1786.61,5760
256,diagonal,D0,c,1827.09,5760
256,diagonal,D10,a,1768.88,5760
256,diagonal,D10,b,1798.81,5760
256,diagonal,D10,c,1855.66,5760
256,dispersa,D0,a,1836.16,5760
256,dispersa,D0,b,1831.14,5760
256,dispersa,D0,c,1860.69,5760
256,dispersa,D10,a,1859.33,5760
256,dispersa,D10,b,1868.33,5760
256,dispersa,D10,c,1905.24,5760
64,densa,D0,a,35.9389,384
64,densa,D0,b,36.7304,384
64,densa,D0,c,35.6213,384
64,densa,D10,a,35.4959,384
64,densa,D10,b,36.2328,384
64,densa,D10,c,36.006,384
64,diagonal,D0,a,36.0903,384
64,diagonal,D0,b,36.9909,384
64,diagonal,D0,c,36.6927,384
64,diagonal,D10,a,35.4441,384
64,diagonal,D10,b,35.7298,256
64,diagonal,D10,c,36.6365,384
64,dispersa,D0,a,35.9684,384
64,dispersa,D0,b,50.8148,384
64,dispersa,D0,c,41.1027,384
64,dispersa,D10,a,36.4943,384
64,dispersa,D10,b,35.6614,384
64,dispersa,D10,c,37.0215,384
