n,t,d,m,time_ms,memory_kb
100000,aleatorio,D1,a,4.0263,4224
10000000,aleatorio,D1,a,455.943,81536
10000000,aleatorio,D1,b,444.455,81536
10000000,aleatorio,D1,c,431.361,81536
10000000,aleatorio,D7,a,946.138,81536
10000000,aleatorio,D7,b,940.818,81536
10000000,aleatorio,D7,c,937.763,81536
10000000,ascendente,D1,a,223.157,81536
10000000,ascendente,D1,b,242.417,81536
10000000,ascendente,D1,c,227.112,81536
10000000,ascendente,D7,a,223.477,81536
10000000,ascendente,D7,b,232.374,81536
10000000,ascendente,D7,c,254.305,81536
10000000,descendente,D1,a,226.969,81536
10000000,descendente,D1,b,223.601,81536
10000000,descendente,D1,c,220.74,81536
10000000,descendente,D7,a,269.777,81408
10000000,descendente,D7,b,261.389,81536
10000000,descendente,D7,c,270.172,81536
100000,aleatorio,D1,a,3.6708,4096
100000,aleatorio,D1,b,3.8055,4096
100000,aleatorio,D1,c,3.6745,4096
100000,aleatorio,D7,a,6.4718,4096
100000,aleatorio,D7,b,6.472,4096
100000,aleatorio,D7,c,6.4871,4096
100000,ascendente,D1,a,1.5265,4096
100000,ascendente,D1,b,1.6071,4096
100000,ascendente,D1,c,1.5241,4096
100000,ascendente,D7,a,1.5828,4096
100000,ascendente,D7,b,1.5271,4096
100000,ascendente,D7,c,1.5916,4096
100000,descendente,D1,a,1.5483,4096
100000,descendente,D1,b,1.5927,4096
100000,descendente,D1,c,1.6312,4096
100000,descendente,D7,a,1.6386,4096
100000,descendente,D7,b,1.5568,4096
100000,descendente,D7,c,1.5442,4096
1000,aleatorio,D1,a,0.0702,3328
1000,aleatorio,D1,b,0.036,3328
1000,aleatorio,D1,c,0.0362,3328
1000,aleatorio,D7,a,0.0441,3328
1000,aleatorio,D7,b,0.0435,3328
1000,aleatorio,D7,c,0.0439,3328
1000,ascendente,D1,a,0.0144,3328
1000,ascendente,D1,b,0.0147,3328
1000,ascendente,D1,c,0.0148,3328
1000,ascendente,D7,a,0.0136,3328
1000,ascendente,D7,b,0.0135,3328
1000,ascendente,D7,c,0.0132,3328
1000,descendente,D1,a,0.0175,3328
1000,descendente,D1,b,0.0177,3328
1000,descendente,D1,c,0.0173,3328
1000,descendente,D7,a,0.0132,3328
1000,descendente,D7,b,0.0135,3328
1000,descendente,D7,c,0.0135,3328
10,aleatorio,D1,a,0.0011,3328
10,aleatorio,D1,b,0.001,3328
10,aleatorio,D1,c,0.0012,3328
10,aleatorio,D7,a,0.0009,3328
10,aleatorio,D7,b,0.0015,3328
10,aleatorio,D7,c,0.0011,3328
10,ascendente,D1,a,0.001,3328
10,ascendente,D1,b,0.001,3328
10,ascendente,D1,c,0.001,3328
10,ascendente,D7,a,0.0009,3328
10,ascendente,D7,b,0.0009,3328
10,ascendente,D7,c,0.0008,3328
10,descendente,D1,a,0.0009,3328
10,descendente,D1,b,0.0013,3328
10,descendente,D1,c,0.001,3328
10,descendente,D7,a,0.0011,3328
10,descendente,D7,b,0.0011,3328
10,descendente,D7,c,0.0009,3328
