n,t,d,m,time_ms,rss_delta_kb
10000000,aleatorio,D1,a,440.829,39296
10000000,aleatorio,D1,b,441.065,39296
10000000,aleatorio,D1,c,443.891,39296
10000000,aleatorio,D7,a,907.682,39040
10000000,aleatorio,D7,b,920.165,39296
10000000,aleatorio,D7,c,923.14,39296
10000000,ascendente,D1,a,255.138,39296
10000000,ascendente,D1,b,214.085,39296
10000000,ascendente,D1,c,220.219,39296
10000000,ascendente,D7,a,232.051,39296
10000000,ascendente,D7,b,234.169,39296
10000000,ascendente,D7,c,229.464,39296
10000000,descendente,D1,a,234.823,39296
10000000,descendente,D1,b,234.886,39296
10000000,descendente,D1,c,217.909,39296
10000000,descendente,D7,a,274.402,39296
10000000,descendente,D7,b,262.619,39296
10000000,descendente,D7,c,260.704,39296
100000,aleatorio,D1,a,3.6211,384
100000,aleatorio,D1,b,3.6106,512
100000,aleatorio,D1,c,3.6374,512
100000,aleatorio,D7,a,6.3047,512
100000,aleatorio,D7,b,6.3027,512
100000,aleatorio,D7,c,6.2785,512
100000,ascendente,D1,a,1.4908,512
100000,ascendente,D1,b,1.5519,512
100000,ascendente,D1,c,1.5872,512
100000,ascendente,D7,a,1.579,512
100000,ascendente,D7,b,1.5313,384
100000,ascendente,D7,c,1.5408,512
100000,descendente,D1,a,1.5401,384
100000,descendente,D1,b,1.5362,512
100000,descendente,D1,c,1.5491,512
100000,descendente,D7,a,1.5799,512
100000,descendente,D7,b,1.5534,512
100000,descendente,D7,c,1.5641,384
1000,aleatorio,D1,a,0.0348,128
1000,aleatorio,D1,b,0.0352,128
1000,aleatorio,D1,c,0.0356,0
1000,aleatorio,D7,a,0.0428,128
1000,aleatorio,D7,b,0.0435,128
1000,aleatorio,D7,c,0.0435,128
1000,ascendente,D1,a,0.0146,128
1000,ascendente,D1,b,0.0187,128
1000,ascendente,D1,c,0.0147,128
1000,ascendente,D7,a,0.0204,0
1000,ascendente,D7,b,0.0137,128
1000,ascendente,D7,c,0.0133,128
1000,descendente,D1,a,0.0177,0
1000,descendente,D1,b,0.0174,128
1000,descendente,D1,c,0.0177,128
1000,descendente,D7,a,0.0133,128
1000,descendente,D7,b,0.0133,0
1000,descendente,D7,c,0.0133,128
10,aleatorio,D1,a,0.0012,128
10,aleatorio,D1,b,0.001,128
10,aleatorio,D1,c,0.0012,128
10,aleatorio,D7,a,0.0013,0
10,aleatorio,D7,b,0.0012,128
10,aleatorio,D7,c,0.0013,128
10,ascendente,D1,a,0.0012,128
10,ascendente,D1,b,0.001,128
10,ascendente,D1,c,0.0013,0
10,ascendente,D7,a,0.0009,128
10,ascendente,D7,b,0.0012,128
10,ascendente,D7,c,0.0009,128
10,descendente,D1,a,0.0011,128
10,descendente,D1,b,0.0011,0
10,descendente,D1,c,0.001,128
10,descendente,D7,a,0.0012,0
10,descendente,D7,b,0.0013,128
10,descendente,D7,c,0.001,128
