n,t,d,m,time_ms,memory_kb
10000000,aleatorio,D1,a,2.31295e+06,42368
10000000,aleatorio,D1,b,3.31476e+07,42368
10000000,aleatorio,D1,c,2.29464e+06,42368
10000000,aleatorio,D7,a,764.634,42368
10000000,aleatorio,D7,b,783.923,42368
10000000,aleatorio,D7,c,796.897,42368
10000000,ascendente,D1,a,2.28009e+06,42368
10000000,ascendente,D1,b,2.30615e+06,42368
10000000,ascendente,D1,c,2.27299e+06,42368
10000000,ascendente,D7,a,355.903,42368
10000000,ascendente,D7,b,363.238,42368
10000000,ascendente,D7,c,398.339,42368
10000000,descendente,D1,a,2.26214e+06,42368
10000000,descendente,D1,b,2.26924e+06,42368
10000000,descendente,D1,c,2.26334e+06,42368
10000000,descendente,D7,a,374.768,42368
10000000,descendente,D7,b,390.895,42368
10000000,descendente,D7,c,374.333,42368
100000,aleatorio,D1,a,228.172,3712
100000,aleatorio,D1,b,237.391,3712
100000,aleatorio,D1,c,229.347,3712
100000,aleatorio,D7,a,6.2236,3712
100000,aleatorio,D7,b,6.1904,3712
100000,aleatorio,D7,c,6.6059,3712
100000,ascendente,D1,a,228.172,3712
100000,ascendente,D1,b,227.36,3712
100000,ascendente,D1,c,241.473,3712
100000,ascendente,D7,a,3.0738,3712
100000,ascendente,D7,b,3.0407,3712
100000,ascendente,D7,c,3.0499,3712
100000,descendente,D1,a,242.061,3712
100000,descendente,D1,b,226.839,3712
100000,descendente,D1,c,225.529,3712
100000,descendente,D7,a,3.3643,3712
100000,descendente,D7,b,3.3591,3712
100000,descendente,D7,c,3.291,3712
1000,aleatorio,D1,a,0.0538,3328
1000,aleatorio,D1,b,0.0523,3328
1000,aleatorio,D1,c,0.0555,3328
1000,aleatorio,D7,a,0.0454,3328
1000,aleatorio,D7,b,0.0457,3328
1000,aleatorio,D7,c,0.0454,3328
1000,ascendente,D1,a,0.0464,3328
1000,ascendente,D1,b,0.046,3328
1000,ascendente,D1,c,0.0461,3328
1000,ascendente,D7,a,0.029,3328
1000,ascendente,D7,b,0.0284,3328
1000,ascendente,D7,c,0.0291,3328
1000,descendente,D1,a,0.0464,3328
1000,descendente,D1,b,0.0469,3328
1000,descendente,D1,c,0.0461,3328
1000,descendente,D7,a,0.0322,3328
1000,descendente,D7,b,0.0323,3328
1000,descendente,D7,c,0.0391,3328
10,aleatorio,D1,a,0.0014,3328
10,aleatorio,D1,b,0.0009,3328
10,aleatorio,D1,c,0.0011,3328
10,aleatorio,D7,a,0.0012,3328
10,aleatorio,D7,b,0.0009,3328
10,aleatorio,D7,c,0.001,3328
10,ascendente,D1,a,0.0012,3328
10,ascendente,D1,b,0.0011,3328
10,ascendente,D1,c,0.0014,3328
10,ascendente,D7,a,0.0008,3328
10,ascendente,D7,b,0.0012,3328
10,ascendente,D7,c,0.0011,3328
10,descendente,D1,a,0.001,3328
10,descendente,D1,b,0.0012,3328
10,descendente,D1,c,0.0011,3328
10,descendente,D7,a,0.0013,3328
10,descendente,D7,b,0.0012,3328
10,descendente,D7,c,0.0011,3328
