n,t,d,m,time_ms,rss_delta_kb
10000000,aleatorio,D1,a,2.35908e+06,128
10000000,aleatorio,D1,b,2.36959e+06,128
10000000,aleatorio,D1,c,2.33583e+06,0
10000000,aleatorio,D7,a,822.723,128
10000000,aleatorio,D7,b,811.867,0
10000000,aleatorio,D7,c,810.772,0
10000000,ascendente,D1,a,2.29953e+06,128
10000000,ascendente,D1,b,2.26612e+06,0
10000000,ascendente,D1,c,2.26708e+06,0
10000000,ascendente,D7,a,386.422,128
10000000,ascendente,D7,b,387.021,128
10000000,ascendente,D7,c,377.571,128
10000000,descendente,D1,a,2.26612e+06,128
10000000,descendente,D1,b,2.26569e+06,128
10000000,descendente,D1,c,2.26595e+06,128
10000000,descendente,D7,a,415.492,0
10000000,descendente,D7,b,390.428,0
10000000,descendente,D7,c,421.425,128
100000,aleatorio,D1,a,230.455,128
100000,aleatorio,D1,b,226.354,128
100000,aleatorio,D1,c,226.424,0
100000,aleatorio,D7,a,6.1163,128
100000,aleatorio,D7,b,6.1426,128
100000,aleatorio,D7,c,6.1016,128
100000,ascendente,D1,a,228.776,128
100000,ascendente,D1,b,228.099,128
100000,ascendente,D1,c,243.758,128
100000,ascendente,D7,a,3.2813,128
100000,ascendente,D7,b,3.0583,128
100000,ascendente,D7,c,3.0842,128
100000,descendente,D1,a,239.652,128
100000,descendente,D1,b,232.571,128
100000,descendente,D1,c,229.119,128
100000,descendente,D7,a,3.4777,128
100000,descendente,D7,b,3.3742,0
100000,descendente,D7,c,3.3301,128
1000,aleatorio,D1,a,0.0507,128
1000,aleatorio,D1,b,0.0527,128
1000,aleatorio,D1,c,0.0533,0
1000,aleatorio,D7,a,0.0441,128
1000,aleatorio,D7,b,0.0449,128
1000,aleatorio,D7,c,0.0445,128
1000,ascendente,D1,a,0.046,128
1000,ascendente,D1,b,0.046,0
1000,ascendente,D1,c,0.0463,128
1000,ascendente,D7,a,0.0288,0
1000,ascendente,D7,b,0.0288,128
1000,ascendente,D7,c,0.0291,128
1000,descendente,D1,a,0.0462,0
1000,descendente,D1,b,0.0467,128
1000,descendente,D1,c,0.0468,128
1000,descendente,D7,a,0.0321,128
1000,descendente,D7,b,0.0318,0
1000,descendente,D7,c,0.0328,128
10,aleatorio,D1,a,0.0009,128
10,aleatorio,D1,b,0.0013,128
10,aleatorio,D1,c,0.0012,128
10,aleatorio,D7,a,0.0016,128
10,aleatorio,D7,b,0.0011,0
10,aleatorio,D7,c,0.0011,128
10,ascendente,D1,a,0.001,128
10,ascendente,D1,b,0.0016,128
10,ascendente,D1,c,0.0012,128
10,ascendente,D7,a,0.0016,0
10,ascendente,D7,b,0.0012,128
10,ascendente,D7,c,0.0016,128
10,descendente,D1,a,0.0011,0
10,descendente,D1,b,0.0013,128
10,descendente,D1,c,0.0012,128
10,descendente,D7,a,0.0013,128
10,descendente,D7,b,0.0011,128
10,descendente,D7,c,0.001,128
