n,t,d,m,time_ms,memory_kb
10000000,aleatorio,D1,a,212.027,81408
10000000,aleatorio,D1,b,207.501,81536
10000000,aleatorio,D1,c,199.386,81536
10000000,aleatorio,D7,a,628.979,81536
10000000,aleatorio,D7,b,629.434,81536
10000000,aleatorio,D7,c,644.079,81536
10000000,ascendente,D1,a,115.466,81536
10000000,ascendente,D1,b,107.98,81536
10000000,ascendente,D1,c,105.126,81536
10000000,ascendente,D7,a,150.005,81536
10000000,ascendente,D7,b,149.93,81408
10000000,ascendente,D7,c,143.591,81536
10000000,descendente,D1,a,117.625,81536
10000000,descendente,D1,b,124.665,81536
10000000,descendente,D1,c,108.008,81536
10000000,descendente,D7,a,119.706,81536
10000000,descendente,D7,b,131.846,81536
10000000,descendente,D7,c,138.798,81536
100000,aleatorio,D1,a,1.644,4096
100000,aleatorio,D1,b,1.6823,4096
100000,aleatorio,D1,c,1.7048,4096
100000,aleatorio,D7,a,4.5261,4096
100000,aleatorio,D7,b,4.4208,4096
100000,aleatorio,D7,c,4.4353,4096
100000,ascendente,D1,a,0.7214,4096
100000,ascendente,D1,b,0.711,4096
100000,ascendente,D1,c,0.8151,4096
100000,ascendente,D7,a,0.8679,4096
100000,ascendente,D7,b,0.8766,4096
100000,ascendente,D7,c,0.9086,4096
100000,descendente,D1,a,0.7088,4096
100000,descendente,D1,b,0.7124,4096
100000,descendente,D1,c,0.7138,4096
100000,descendente,D7,a,0.6833,4096
100000,descendente,D7,b,0.7508,4096
100000,descendente,D7,c,0.6588,4096
1000,aleatorio,D1,a,0.0163,3328
1000,aleatorio,D1,b,0.0164,3328
1000,aleatorio,D1,c,0.0154,3328
1000,aleatorio,D7,a,0.0276,3328
1000,aleatorio,D7,b,0.0274,3328
1000,aleatorio,D7,c,0.0274,3328
1000,ascendente,D1,a,0.0072,3328
1000,ascendente,D1,b,0.0068,3328
1000,ascendente,D1,c,0.0093,3328
1000,ascendente,D7,a,0.0061,3328
1000,ascendente,D7,b,0.0059,3328
1000,ascendente,D7,c,0.006,3328
1000,descendente,D1,a,0.0068,3328
1000,descendente,D1,b,0.0069,3328
1000,descendente,D1,c,0.0071,3328
1000,descendente,D7,a,0.0045,3328
1000,descendente,D7,b,0.005,3328
1000,descendente,D7,c,0.0045,3328
10,aleatorio,D1,a,0.0007,3328
10,aleatorio,D1,b,0.0006,3328
10,aleatorio,D1,c,0.0006,3328
10,aleatorio,D7,a,0.0007,3328
10,aleatorio,D7,b,0.0007,3328
10,aleatorio,D7,c,0.0007,3328
10,ascendente,D1,a,0.0007,3328
10,ascendente,D1,b,0.0006,3328
10,ascendente,D1,c,0.0008,3328
10,ascendente,D7,a,0.0006,3328
10,ascendente,D7,b,0.0006,3328
10,ascendente,D7,c,0.0008,3328
10,descendente,D1,a,0.0008,3328
10,descendente,D1,b,0.0008,3328
10,descendente,D1,c,0.0008,3328
10,descendente,D7,a,0.0008,3328
10,descendente,D7,b,0.0007,3328
10,descendente,D7,c,0.0007,3328
