n,t,d,m,time_ms,rss_delta_kb
10000000,aleatorio,D1,a,213.009,39040
10000000,aleatorio,D1,b,217.249,39168
10000000,aleatorio,D1,c,202.926,39296
10000000,aleatorio,D7,a,646.517,39296
10000000,aleatorio,D7,b,634.644,39296
10000000,aleatorio,D7,c,650.111,39296
10000000,ascendente,D1,a,113.336,39296
10000000,ascendente,D1,b,119.401,39040
10000000,ascendente,D1,c,101.924,39296
10000000,ascendente,D7,a,174.778,39168
10000000,ascendente,D7,b,148.626,39296
10000000,ascendente,D7,c,147.15,39296
10000000,descendente,D1,a,117.099,39296
10000000,descendente,D1,b,127.703,39040
10000000,descendente,D1,c,111.627,39040
10000000,descendente,D7,a,136.686,39296
10000000,descendente,D7,b,135.23,39168
10000000,descendente,D7,c,138.781,39296
100000,aleatorio,D1,a,1.7607,512
100000,aleatorio,D1,b,1.7482,512
100000,aleatorio,D1,c,1.7207,384
100000,aleatorio,D7,a,4.4182,512
100000,aleatorio,D7,b,4.4298,384
100000,aleatorio,D7,c,4.4009,512
100000,ascendente,D1,a,0.949301,512
100000,ascendente,D1,b,0.8336,512
100000,ascendente,D1,c,1.2519,512
100000,ascendente,D7,a,1.1677,512
100000,ascendente,D7,b,0.8919,512
100000,ascendente,D7,c,0.8952,384
100000,descendente,D1,a,0.8265,512
100000,descendente,D1,b,0.7174,512
100000,descendente,D1,c,0.74,512
100000,descendente,D7,a,0.6939,512
100000,descendente,D7,b,0.7307,384
100000,descendente,D7,c,0.7072,512
1000,aleatorio,D1,a,0.0171,128
1000,aleatorio,D1,b,0.0167,128
1000,aleatorio,D1,c,0.0155,128
1000,aleatorio,D7,a,0.0276,0
1000,aleatorio,D7,b,0.0273,0
1000,aleatorio,D7,c,0.0275,128
1000,ascendente,D1,a,0.0083,128
1000,ascendente,D1,b,0.0073,128
1000,ascendente,D1,c,0.0077,128
1000,ascendente,D7,a,0.0071,128
1000,ascendente,D7,b,0.0063,128
1000,ascendente,D7,c,0.007,128
1000,descendente,D1,a,0.0071,128
1000,descendente,D1,b,0.0079,128
1000,descendente,D1,c,0.008,128
1000,descendente,D7,a,0.0047,128
1000,descendente,D7,b,0.007,128
1000,descendente,D7,c,0.0071,128
10,aleatorio,D1,a,0.0013,128
10,aleatorio,D1,b,0.0011,0
10,aleatorio,D1,c,0.0009,128
10,aleatorio,D7,a,0.0008,128
10,aleatorio,D7,b,0.0008,128
10,aleatorio,D7,c,0.0009,0
10,ascendente,D1,a,0.001,128
10,ascendente,D1,b,0.0007,0
10,ascendente,D1,c,0.0009,128
10,ascendente,D7,a,0.0007,128
10,ascendente,D7,b,0.0008,128
10,ascendente,D7,c,0.0008,128
10,descendente,D1,a,0.0007,0
10,descendente,D1,b,0.0009,128
10,descendente,D1,c,0.001,128
10,descendente,D7,a,0.0021,128
10,descendente,D7,b,0.0007,128
10,descendente,D7,c,0.0009,128
